company,domain,company_url,careers_url,source,notes
Epic,epic.com,https://www.epic.com,https://careers.epic.com/,public_site,Official public careers site
athenahealth,athenahealth.com,https://www.athenahealth.com,https://careers.athenahealth.com/us/en/,public_site,Official public ATS page
Oracle,oracle.com,https://www.oracle.com,https://www.oracle.com/careers/,public_site,Corporate careers landing page
Change Healthcare,changehealthcare.com,https://www.changehealthcare.com,https://jobs.changehealthcare.com/,public_site,Likely public jobs page
Veeva,veeva.com,https://www.veeva.com,https://www.veeva.com/careers/,public_site,Official company careers landing page
Optum,optum.com,https://www.optum.com,https://careers.optum.com/,public_site,Public corporate careers site
UnitedHealth Group,unitedhealthgroup.com,https://www.unitedhealthgroup.com,https://careers.unitedhealthgroup.com/,public_site,Public career landing page
Teladoc Health,teladoc.com,https://www.teladoc.com,https://www.teladoc.com/careers/,public_site,Official jobs page
Komodo Health,komodohealth.com,https://www.komodohealth.com,https://www.komodohealth.com/careers/,public_site,Public company careers page
Health Catalyst,healthcatalyst.com,https://www.healthcatalyst.com,https://www.healthcatalyst.com/careers/,public_site,Official careers page
Surescripts,surescripts.com,https://surescripts.com,https://surescripts.com/careers/,public_site,Official careers path
Innovaccer,innovaccer.com,https://www.innovaccer.com,https://www.innovaccer.com/careers/,public_site,Official careers page
GitLab,gitlab.com,https://about.gitlab.com,https://about.gitlab.com/jobs/,public_site,Official jobs site
Datadog,datadog.com,https://www.datadoghq.com,https://www.datadoghq.com/careers/,public_site,Official careers page
Cloudflare,cloudflare.com,https://www.cloudflare.com,https://www.cloudflare.com/careers/,public_site,Official careers page
HashiCorp,hashicorp.com,https://www.hashicorp.com,https://www.hashicorp.com/jobs/,public_site,Official jobs page
Atlassian,atlassian.com,https://www.atlassian.com,https://www.atlassian.com/company/careers,public_site,Official careers page
Snyk,snyk.io,https://snyk.io,https://snyk.io/careers/,public_site,Official careers page
Cedar,cedar.com,https://www.cedar.com,https://www.cedar.com/careers/,public_site,Official careers page
Phreesia,phreesia.com,https://www.phreesia.com,https://jobs.phreesia.com/,public_site,Public jobs page
Aledade,aledade.com,https://www.aledade.com,https://www.aledade.com/careers/,public_site,Official careers page
Mend,mend.com,https://www.mend.com,https://www.mend.com/careers/,public_site,Official careers page
Arcadia,arcadia.io,https://www.arcadia.io,https://www.arcadia.io/careers/,public_site,Official careers page
