company,website,job_title,location,role_type,fit_score,status,priority,source,notes
Amazon Annapurna Labs,https://amazon.jobs/content/en/teams/annapurna-labs?intcmpid=AS_DDAW200095C,Verification Engineer,"Tel Aviv, ISR + other locations",hardware/platform,96,new,high,amazon_jobs,"Strong match for systems and platform verification work; direct Amazon focus."
Amazon Annapurna Labs,https://amazon.jobs/jobs/10538219,"CPLD/FPGA Firmware Engineer, Annapurna Labs, ML Accelerator Systems Firmware","Austin, TX, USA",firmware/hardware,95,new,high,amazon_jobs,"Very strong hardware/firmware fit; good intersection of platform and silicon."
Amazon Web Services,https://amazon.jobs/jobs/10426196,"Software Development Engineer, AWS","Seattle, WA, USA + other locations",software/platform,94,new,high,amazon_jobs,"General AWS SDE role; broad but relevant software-platform match."
Amazon Web Services,https://amazon.jobs/jobs/10538171,"Sr. Software Development Engineer, Inference Team - AWS Neuron","Seattle, WA, USA",software/ml,95,new,high,amazon_jobs,"Very strong ML and inference platform match."
Amazon Web Services,https://amazon.jobs/jobs/10501454,"Software Engineer- AI/ML, Amazon Neuron Training","Seattle, WA, USA + other locations",software/ml,94,new,high,amazon_jobs,"Strong match for AI/ML focused systems work."
Amazon Annapurna Labs,https://amazon.jobs/jobs/10538105,"Sr. Hardware Engineer , Trainium Manufacturing, Quality and Reliability","Taipei, TPE, TWN",hardware/systems,93,new,high,amazon_jobs,"Good fit for chip and server infrastructure hardware roles."
Amazon Annapurna Labs,https://amazon.jobs/jobs/10530952,"Sr. Manufacturing Engineer, Trainium Manufacturing, Quality and Reliability","Taipei, TPE, TWN",manufacturing/quality,91,new,medium,amazon_jobs,"Strong hardware manufacturing / quality angle."
Amazon Annapurna Labs,https://amazon.jobs/jobs/10538066,"ML Systems Software Development Engineer Intern, Annapurna Labs - 2027","Toronto, ON, CAN",software/ml,88,new,medium,amazon_jobs,"Good early-career ML systems pipeline."
Amazon Annapurna Labs,https://amazon.jobs/jobs/10537988,"Lab Infrastructure and Operations Manager, Annapurna Labs Silicon","Austin, TX, USA",systems/ops,87,new,medium,amazon_jobs,"Good operations and infrastructure leadership option."
Amazon Annapurna Labs,https://amazon.jobs/jobs/10537971,"Senior Manager, Software Development — AI Systems and Server, Annapurna Labs","San Diego, CA, USA",leadership/platform,86,new,medium,amazon_jobs,"Leadership-track role with strong platform and AI systems relevance."
