company,website,job_title,location,role_type,fit_score,status,priority,source,notes
Accenture,https://www.accenture.com/us-en/careers/jobsearch,Technology Strategy and Transformation Analyst,Various locations,consulting/strategy,82,new,medium,accenture_jobs,"Good future-shaping consulting option; early-career and strategy-heavy."
Accenture,https://www.accenture.com/us-en/careers/jobsearch,Oracle Fusion Manufacturing Senior Manager,Various locations,consulting/enterprise,80,new,medium,accenture_jobs,"Project and transformation leadership role; less direct engineering fit but strong enterprise exposure."
Accenture,https://www.accenture.com/us-en/careers/jobsearch,SAP Supply Chain Delivery Lead / Senior Manager,Various locations,consulting/enterprise,81,new,medium,accenture_jobs,"Large systems delivery and transformation role; relevant if aiming for enterprise platforms."
Accenture,https://www.accenture.com/us-en/careers/jobsearch,SAP Finance Senior Manager,Various locations,consulting/enterprise,79,new,medium,accenture_jobs,"Good enterprise transformation path, but less technical product fit."
Accenture,https://www.accenture.com/us-en/careers/jobsearch,Technology Strategy Summer Associate,St. Louis / various locations,consulting/strategy,78,new,medium,accenture_jobs,"Early-career strategy-oriented role; useful as a watchlist item."
Accenture,https://www.accenture.com/us-en/careers/jobsearch,Entry Level Technology Summer Analyst,Various locations,technical/early-career,77,new,medium,accenture_jobs,"Useful early-career technical pipeline if you want a consulting ramp."
Accenture,https://www.accenture.com/us-en/careers/jobsearch,Agentic Commerce Senior Manager | Industrial,Various locations,consulting/ai,76,new,medium,accenture_jobs,"AI and commerce transformation flavor; not core direct engineering but relevant to advanced consulting."
Accenture,https://www.accenture.com/us-en/careers/jobsearch,Agentic Commerce Senior Manager | Life Sciences,Various locations,consulting/ai,76,new,medium,accenture_jobs,"AI/enterprise transformation role with healthcare-adjacent context."
Accenture,https://www.accenture.com/us-en/careers/jobsearch,Cloud / Platform adjacent transformation roles,Various locations,cloud/platform,75,new,low,accenture_jobs,"Broad watchlist category; not specific enough to pursue directly without a stronger fit."
Accenture,https://www.accenture.com/us-en/careers/jobsearch,Technology Summer Analyst,Various locations,technical/early-career,74,new,low,accenture_jobs,"Potential pipeline item if direct consulting is desired."
