company,website,category,priority,direct_employer,geography,remote_ok,notes
Epic,https://www.epic.com,provider workflow / EHR adjacent,high,yes,us,maybe,healthtech software vendor; strong product, platform, and integration fit
athenahealth,https://www.athenahealth.com,healthcare SaaS,high,yes,us,maybe,provider workflow, billing, and revenue cycle products
Oracle Health,https://www.oracle.com/health/,EHR / healthcare platform,high,yes,us,maybe,large health-tech platform and clinical software employer
Change Healthcare,https://www.changehealthcare.com,claims / revenue cycle,high,yes,us,maybe,claims, payment, and interoperability products
Veeva,https://www.veeva.com,regulated SaaS / life sciences,high,yes,us,maybe,excellent fit for regulated healthcare and data-heavy product work
Teladoc Health,https://www.teladoc.com,digital health,high,yes,us,maybe,virtual care and health platform business
Optum,https://www.optum.com,healthcare SaaS / payer platform,high,yes,us,maybe,large payer-provider technology ecosystem
UnitedHealth Group,https://www.unitedhealthgroup.com,healthcare platform / payer tech,high,yes,us,maybe,good product and platform engineering opportunities
Cigna,https://www.cigna.com,health plan technology,medium,yes,us,maybe,platform and member-experience engineering opportunities
Hinge Health,https://www.hingehealth.com,digital care / remote monitoring,medium,yes,us,maybe,healthtech product and platform team
GoodRx,https://www.goodrx.com,consumer healthcare tech,medium,yes,us,maybe,health / Rx platform engineering and product work
Komodo Health,https://www.komodohealth.com,health data / analytics,medium,yes,us,maybe,data platform and analytics for healthcare
Health Catalyst,https://www.healthcatalyst.com,health data / analytics,medium,yes,us,maybe,healthcare analytics and platform engineering
WellSky,https://www.wellsky.com,care coordination / home health,medium,yes,us,maybe,healthcare software vendor in care management
Greenway Health,https://www.greenwayhealth.com,provider practice software,medium,yes,us,maybe,practice management and EHR-adjacent healthcare software
Netsmart,https://www.ntst.com,behavioral health / care management,medium,yes,us,maybe,healthcare SaaS and care coordination platform
Surescripts,https://surescripts.com,interoperability / e-prescribing,medium,yes,us,maybe,excellent API and healthcare integration fit
Innovaccer,https://www.innovaccer.com,care management / healthcare data,medium,yes,us,maybe,fast-growing health data and SaaS workforce
Zocdoc,https://www.zocdoc.com,patient access / digital health,medium,yes,us,maybe,consumer healthcare platform with engineering roles
Mend,https://www.mend.com,behavioral health / digital care,medium,yes,us,maybe,digital health product and platform work
R1 RCM,https://www.r1rcm.com,revenue cycle management,medium,yes,us,maybe,healthcare tech with large platform and integration footprint
eClinicalWorks,https://www.eclinicalworks.com,provider workflow software,medium,yes,us,maybe,EHR-adjacent healthcare direct employer
Veradigm,https://veradigm.com,provider data / EHR adjacent,medium,yes,us,maybe,healthcare software vendor with product and data stack work
