title,company,location,posted_ago,source_query
"Senior Software Engineer - Case Execution",Pivotal Health,"New York, NY","2 weeks ago","Senior Software Engineer healthcare python"
"Senior Software Engineer, Backend",PathAI,"Boston, MA","1 day ago","Senior Software Engineer healthcare python"
"Senior Backend Software Engineer",Analog Devices,"Wilmington, MA","1 week ago","Senior Software Engineer healthcare python"
"Senior Python Engineer (Backend)",Alaffia Health,"New York, NY","2 weeks ago","Senior Software Engineer healthcare python"
"Senior Software Engineer - Case Execution",Pivotal Health,"Brooklyn, NY","2 weeks ago","Senior Software Engineer healthcare python"
"Senior Software Development Engineer - Microservices",CVS Health,"Austin, TX","1 month ago","Senior Software Engineer healthcare python"
"Sr. Software Engineer - Signals & Algorithm Interfaces (Python/C++)",Medtronic,"Newton, MA","3 months ago","Senior Software Engineer healthcare python"
"Senior Backend Software Engineer",Regard,"Los Angeles, CA","3 weeks ago","Senior Software Engineer healthcare python"
"Senior Software Engineer",Optum,"Tempe, AZ","1 month ago","Senior Software Engineer healthcare python"
"Senior AI/ML Software Engineer - Remote",Optum,"Eden Prairie, MN","2 months ago","Senior Software Engineer healthcare python"
"Senior Platform Engineer",Pivotal Health,"Los Angeles, CA","1 week ago","Platform Engineer healthcare kubernetes"
"Senior Platform Engineer",Pivotal Health,"Brooklyn, NY","1 week ago","Platform Engineer healthcare kubernetes"
"Software Engineer, Infrastructure (All Levels)",Rad AI,"San Francisco, CA","7 months ago","Platform Engineer healthcare kubernetes"
"Staff Software Engineer, Infrastructure",Maven Clinic,"Seattle, WA","2 weeks ago","Platform Engineer healthcare kubernetes"
"Senior Software Engineer, Infrastructure",Commure,"Los Angeles, CA","2 days ago","Platform Engineer healthcare kubernetes"
"Senior Platform Developer",Judi Health,"New York, NY","3 weeks ago","Platform Engineer healthcare kubernetes"
"Staff Platform Engineer",Citizen Health,"San Francisco, CA","3 months ago","Platform Engineer healthcare kubernetes"
"Member of Technical Staff, Senior Infrastructure Engineer",Edison Scientific,"San Francisco, CA","1 week ago","Platform Engineer healthcare kubernetes"
"Senior Platform Engineer",Qualified Health,"Palo Alto, CA","1 month ago","Platform Engineer healthcare kubernetes"
"Senior Software Engineer, Infrastructure",Commure,"New York, NY","2 days ago","Platform Engineer healthcare kubernetes"
