company,website,category,priority,direct_employer,geography,remote_ok,role_fit,target_roles,apply_status,last_review,notes
Epic,https://www.epic.com,provider workflow / EHR adjacent,high,yes,us,maybe,excellent,"backend, platform, API, integration, cloud","new","2026-09-12","Strong direct-employer fit; high product and integration relevance."
athenahealth,https://www.athenahealth.com,healthcare SaaS,high,yes,us,maybe,excellent,"backend, platform, data, integration, devops","new","2026-09-12","One of the strongest matches for healthcare SaaS engineering."
Oracle Health,https://www.oracle.com/health/,EHR / healthcare platform,high,yes,us,maybe,excellent,"backend, cloud, data, platform, integration","new","2026-09-12","Large platform ecosystem; likely strong healthtech alignment."
Change Healthcare,https://www.changehealthcare.com,claims / revenue cycle,high,yes,us,maybe,excellent,"backend, integration, API, data, cloud","new","2026-09-12","Good fit for healthcare integration and workflow products."
Veeva,https://www.veeva.com,regulated SaaS / life sciences,high,yes,us,maybe,excellent,"backend, platform, API, data, cloud","new","2026-09-12","Regulated SaaS with strong engineering and data platform work."
Optum,https://www.optum.com,healthcare SaaS / payer platform,high,yes,us,maybe,very good,"backend, platform, cloud, integration, data","new","2026-09-12","Large direct employer with broad healthcare technology coverage."
UnitedHealth Group,https://www.unitedhealthgroup.com,healthcare platform / payer tech,high,yes,us,maybe,very good,"platform, backend, cloud, data, integration","new","2026-09-12","Good match if targeting payer and platform work."
Teladoc Health,https://www.teladoc.com,digital health,high,yes,us,maybe,very good,"backend, platform, cloud, API, full-stack","new","2026-09-12","Strong digital health brand with product engineering opportunities."
Komodo Health,https://www.komodohealth.com,health data / analytics,medium,yes,us,maybe,very good,"backend, data, platform, analytics, cloud","new","2026-09-12","Good if you want healthcare data, platform, and analytics."
Health Catalyst,https://www.healthcatalyst.com,health data / analytics,medium,yes,us,maybe,very good,"backend, data, platform, integration, cloud","new","2026-09-12","Healthcare analytics and platform-focused direct employer."
Netsmart,https://www.ntst.com,behavioral health / care management,medium,yes,us,maybe,good,"backend, API, integration, cloud, platform","new","2026-09-12","Good healthcare software lane, especially integration and workflow."
Surescripts,https://surescripts.com,interoperability / e-prescribing,medium,yes,us,maybe,excellent,"backend, API, integration, platform, data","new","2026-09-12","Excellent fit for API and healthcare integration work."
Innovaccer,https://www.innovaccer.com,care management / healthcare data,medium,yes,us,maybe,good,"backend, data, platform, integration, cloud","new","2026-09-12","Strong healthcare data and SaaS fit."
Greenway Health,https://www.greenwayhealth.com,provider practice software,medium,yes,us,maybe,good,"backend, API, integration, platform, cloud","new","2026-09-12","Solid provider workflow and healthcare software employer."
GoodRx,https://www.goodrx.com,consumer healthcare tech,medium,yes,us,maybe,good,"backend, platform, data, API, cloud","new","2026-09-12","Good if the focus is consumer health platform roles rather than clinical systems."
