title,company,location,fit_score,reject,reason
Platform Engineer - Healthcare Cloud Platform,UST,"Chicago, IL (Remote)",3,False,
Remote Senior Backend Engineer (Python/FastAPI),Turing,"Seattle, WA (Remote)",3,False,
Staff Backend Software Engineer,Tebra,United States (Remote),3,False,
Integration Engineer -MFT Developer,MI Softech Inc,United States (Remote),2,False,
"Senior Software Engineer, Care Automation",Ladders,United States (Remote),2,False,
Senior Healthcare Data Engineer,Jobot,"Denver, CO (Remote)",2,False,
Senior Software Engineer - Comms & Docs,Snapsheet Inc,United States (Remote),2,False,
Forward Deployed Engineer (Healthcare/ BFSI/ Industries),Intuitive.ai,United States (Remote),2,False,
Software Engineer (Scala),thatDot,United States (Remote),2,False,
Senior Software Engineer,EquipmentShare,United States (Remote),2,False,
Senior Platform Engineer,Veterans United Home Loans,United States (Remote),2,False,
Senior Java Engineer,Haystack,United States (Remote),1,False,
Senior Software Developer,Respondus,"Redmond, WA (Remote)",1,False,
