company,website,category,priority,direct_employer,geography,remote_ok,role_fit,target_roles,apply_status,last_review,notes
Epic,https://www.epic.com,provider workflow / EHR adjacent,high,yes,us,maybe,excellent,"backend, platform, API, integration, cloud","new","2026-09-13","Strong direct-employer fit; healthcare product and engineering platform relevance is very high."
athenahealth,https://www.athenahealth.com,healthcare SaaS,high,yes,us,maybe,excellent,"backend, platform, data, integration, devops","new","2026-09-13","One of the strongest healthtech SaaS matches for backend and platform engineering."
Oracle Health,https://www.oracle.com/health/,EHR / healthcare platform,high,yes,us,maybe,excellent,"backend, cloud, data, platform, integration","new","2026-09-13","Large healthcare platform employer with strong cloud and integration work."
Change Healthcare,https://www.changehealthcare.com,claims / revenue cycle,high,yes,us,maybe,excellent,"backend, integration, API, data, cloud","new","2026-09-13","Strong fit for claims, workflow, and healthcare data/integration systems."
Veeva,https://www.veeva.com,regulated SaaS / life sciences,high,yes,us,maybe,excellent,"backend, platform, API, data, cloud","new","2026-09-13","Very strong regulated SaaS fit with product and platform-heavy engineering."
Optum,https://www.optum.com,healthcare SaaS / payer platform,high,yes,us,maybe,very good,"backend, platform, cloud, integration, data","new","2026-09-13","Large payer-provider ecosystem with strong product and platform opportunities."
UnitedHealth Group,https://www.unitedhealthgroup.com,healthcare platform / payer tech,high,yes,us,maybe,very good,"platform, backend, cloud, data, integration","new","2026-09-13","Good match if targeting payer and platform work."
Teladoc Health,https://www.teladoc.com,digital health,high,yes,us,maybe,very good,"backend, platform, cloud, API, full-stack","new","2026-09-13","Strong digital-health brand with product and platform engineering roles."
Komodo Health,https://www.komodohealth.com,health data / analytics,medium,yes,us,maybe,very good,"backend, data, platform, analytics, cloud","new","2026-09-13","Good fit if you want healthcare data products and platform work."
Health Catalyst,https://www.healthcatalyst.com,health data / analytics,medium,yes,us,maybe,very good,"backend, data, platform, integration, cloud","new","2026-09-13","Healthcare analytics and platform-heavy direct employer."
Surescripts,https://surescripts.com,interoperability / e-prescribing,medium,yes,us,maybe,excellent,"backend, API, integration, platform, data","new","2026-09-13","Excellent fit for APIs, interoperability, and healthcare integration work."
Netsmart,https://www.ntst.com,behavioral health / care management,medium,yes,us,maybe,good,"backend, API, integration, cloud, platform","new","2026-09-13","Good healthcare software lane, especially workflow and integration-heavy systems."
Innovaccer,https://www.innovaccer.com,care management / healthcare data,medium,yes,us,maybe,good,"backend, data, platform, integration, cloud","new","2026-09-13","Strong healthcare data and SaaS fit for product engineering."
Greenway Health,https://www.greenwayhealth.com,provider practice software,medium,yes,us,maybe,good,"backend, API, integration, platform, cloud","new","2026-09-13","Solid provider workflow and healthcare software employer."
GoodRx,https://www.goodrx.com,consumer healthcare tech,medium,yes,us,maybe,good,"backend, platform, data, API, cloud","new","2026-09-13","Useful if the goal is healthcare consumer platform work rather than clinical systems."
