company,website,priority,category,notes
UST,https://www.ust.com,high,healthcare_platform,"Direct employer; platform engineering in healthcare/cloud"
Veterans United Home Loans,https://www.veteransunited.com,high,healthcare_platform,"Direct employer; healthcare/regulated customer platform"
Tebra,https://www.tebra.com,high,healthcare_platform,"Direct employer; healthcare SaaS / platform work"
EquipmentShare,https://www.equipmentshare.com,medium,product_platform,"Direct employer; platform/product engineering"
MI Softech Inc,https://www.misoftech.com,medium,healthcare_integration,"Direct employer; healthcare integration / MFT"
Intuitive.ai,https://www.intuitive.ai,medium,healthcare_platform,"Direct employer; healthcare / industry solutions"
Snapsheet Inc,https://www.snapsheet.com,medium,healthcare_platform,"Direct employer; healthcare / claims adjacent"
Jobot,https://www.jobot.com,medium,healthcare_data,"Direct employer; healthcare data engineering"
Respondus,https://www.respondus.com,medium,product_platform,"Direct employer; platform/dev tools"
thatDot,https://www.thatdot.com,medium,platform_technology,"Direct employer; distributed systems / platform"
Haystack,https://www.haystack.io,medium,platform_technology,"Direct employer; platform / product engineering"
