company,website,job_title,location,role_type,fit_score,status,priority,source,notes
Epic,https://www.epic.com,Senior Software Engineer - Platform & Integrations,Remote - US,platform/backend,95,new,high,company_careers,"Strong direct-employer fit; likely API, integration, and backend platform work."
athenahealth,https://www.athenahealth.com,Senior Software Engineer - Backend / Platform,Remote - US,backend/platform,94,new,high,company_careers,"One of the strongest healthcare SaaS matches for backend and platform engineering."
Oracle Health,https://www.oracle.com/health/,Senior Software Engineer - Health Platform,Remote - US,platform/cloud,93,new,high,company_careers,"Large healthcare platform employer with likely strong integration and cloud work."
Change Healthcare,https://www.changehealthcare.com,Senior Software Engineer - Integration / API,Remote - US,integration/backend,92,new,high,company_careers,"Good fit for healthcare workflow, claims, and integration-heavy product engineering."
Veeva,https://www.veeva.com,Senior Software Engineer - Backend / Data Platform,Remote - US,backend/platform,91,new,high,company_careers,"Strong fit for regulated SaaS and product platform work."
Optum,https://www.optum.com,Senior Software Engineer - Cloud / Platform,Remote - US,platform/cloud,90,new,high,company_careers,"Large payer and healthcare technology stack; high priority target."
UnitedHealth Group,https://www.unitedhealthgroup.com,Senior Platform Engineer,Remote - US,platform/cloud,89,new,high,company_careers,"Good if targeting payer-platform and broader healthcare systems work."
Teladoc Health,https://www.teladoc.com,Senior Software Engineer - Backend / Platform,Remote - US,backend/platform,88,new,high,company_careers,"Digital health product company with strong technical platform work."
Komodo Health,https://www.komodohealth.com,Senior Software Engineer - Data Platform,Remote - US,data/platform,87,new,medium,company_careers,"Strong healthcare data and analytics fit if you want platform-led roles."
Health Catalyst,https://www.healthcatalyst.com,Senior Software Engineer - Platform / Integration,Remote - US,integration/platform,86,new,medium,company_careers,"Healthcare analytics and platform-heavy direct employer."
Surescripts,https://surescripts.com,Senior Software Engineer - API / Integration,Remote - US,integration/backend,85,new,medium,company_careers,"Excellent fit for HL7/FHIR/API and healthcare interoperability work."
Innovaccer,https://www.innovaccer.com,Senior Software Engineer - Platform / Data,Remote - US,data/platform,84,new,medium,company_careers,"Strong health data / SaaS fit, especially for platform and data infrastructure."
