company,website,role,priority,application_status,notes
UST,https://www.ust.com,"Platform Engineer / Cloud Engineer",high,not_started,"Healthcare cloud platform; direct employer; strongest fit"
Veterans United Home Loans,https://www.veteransunited.com,"Senior Platform Engineer / DevOps Engineer",high,not_started,"Healthcare/regulated customer platform; direct employer"
Tebra,https://www.tebra.com,"Platform / DevOps / Cloud Engineer",high,not_started,"Healthcare SaaS platform; direct employer"
EquipmentShare,https://www.equipmentshare.com,"Platform / Infrastructure Engineer",medium,not_started,"Good second-tier fit if direct employer roles remain open"
MI Softech Inc,https://www.misoftech.com,"Integration Engineer / Healthcare Integration",medium,not_started,"Healthcare integration and MFT; relevant if role aligns"
Intuitive.ai,https://www.intuitive.ai,"Platform / Infrastructure / Health-tech Engineer",medium,not_started,"Relevant but later priority"
Snapsheet Inc,https://www.snapsheet.com,"Platform / Cloud / Engineering",medium,not_started,"Claims-adjacent healthcare stack; good second-tier target"
Jobot,https://www.jobot.com,"Healthcare Data Engineer / Platform",medium,not_started,"Healthcare data side; useful backup"
Respondus,https://www.respondus.com,"Platform / Infrastructure Engineer",medium,not_started,"Direct employer; lower priority"
thatDot,https://www.thatdot.com,"Platform / Distributed Systems Engineer",medium,not_started,"Very relevant technically; lower priority"
Haystack,https://www.haystack.io,"Platform / Product Engineer",medium,not_started,"Good technical fit; lower priority"
